size	file
52	underscore/underscore.js
12	underscore/test/chaining.js
12	underscore/test/index.html
256	underscore/test/vendor/jquery.js
28	underscore/test/vendor/jslitmus.js
16	underscore/test/vendor/qunit.css
60	underscore/test/vendor/qunit.js
364	underscore/test/vendor
24	underscore/test/collections.js
36	underscore/test/objects.js
20	underscore/test/functions.js
20	underscore/test/arrays.js
12	underscore/test/speed.js
20	underscore/test/utility.js
524	underscore/test
12	underscore/.gitignore
96	underscore/index.html
12	underscore/index.js
12	underscore/.npmignore
12	underscore/Rakefile
12	underscore/LICENSE
12	underscore/CNAME
12	underscore/README.md
252	underscore/docs/underscore.html
12	underscore/docs/favicon.ico
16	underscore/docs/docco.css
12	underscore/docs/images/background.png
12	underscore/docs/images/underscore.png
28	underscore/docs/images
312	underscore/docs
12	underscore/favicon.ico
12	underscore/CONTRIBUTING.md
12	underscore/package.json
24	underscore/underscore-min.js
2468	underscore